data,tmax,tmax_clima,acima,obitos
2016-07-03,29.4,20.49,8.91,10
2016-07-04,28.6,21.04,7.560000000000002,5
2016-07-05,28.0,20.94,7.059999999999999,7
2017-06-22,26.1,20.23,5.870000000000001,8
2017-06-23,28.0,20.01,7.989999999999998,9
2017-06-24,25.3,19.79,5.510000000000002,8
2017-06-25,26.7,19.88,6.82,11
2017-06-26,23.6,17.8,5.800000000000001,4
2017-06-27,27.2,19.42,7.779999999999998,12
2017-06-28,27.4,19.85,7.549999999999997,11
2017-06-29,26.4,20.04,6.359999999999999,9
2017-07-24,30.1,20.47,9.630000000000003,4
2017-07-25,26.7,19.58,7.120000000000001,8
2017-07-27,24.6,19.03,5.57,9
2017-07-28,26.0,18.8,7.199999999999999,10
2017-07-29,27.0,19.55,7.449999999999999,11
2017-07-30,27.8,19.27,8.530000000000001,8
2017-07-31,27.4,20.46,6.939999999999998,9
2017-08-01,27.5,21.06,6.440000000000001,4
2019-06-10,25.8,19.01,6.789999999999999,4
2019-06-11,26.8,18.62,8.18,9
2019-06-12,26.9,19.27,7.629999999999999,4
2019-06-13,28.7,19.75,8.95,7
2019-06-14,29.9,19.59,10.309999999999999,5
2019-06-15,28.2,20.07,8.129999999999999,6
2019-06-16,28.7,19.32,9.379999999999999,8
2019-06-17,24.7,19.34,5.359999999999999,9
2019-06-18,27.0,19.21,7.789999999999999,4
2020-06-20,29.3,19.46,9.84,8
2020-06-21,31.3,20.23,11.07,4
2020-06-22,26.7,20.01,6.689999999999998,12
2020-06-23,28.6,19.79,8.810000000000002,4
2020-06-24,30.2,19.88,10.32,5
2020-06-25,23.6,17.8,5.800000000000001,3
2020-07-18,30.1,18.96,11.14,7
2020-07-19,31.0,20.43,10.57,4
2020-07-20,28.4,19.91,8.489999999999998,6
2020-07-21,28.8,20.4,8.400000000000002,9
2020-07-22,30.0,19.26,10.739999999999998,7
2020-07-23,29.9,20.47,9.43,10
2020-07-24,28.8,19.58,9.220000000000002,2
2022-01-19,36.4,29.91,6.489999999999998,7
2022-01-20,36.0,30.18,5.82,9
2022-01-21,35.4,28.93,6.469999999999999,4
2022-01-22,38.1,29.75,8.350000000000001,7
2022-01-23,36.3,30.69,5.609999999999996,17
