,dia,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
225,226,8.05,77.98,48.9,11.44,16.53,21.3,9.86,60.86,76.92,88.9,2.06,1020.24,15.91,5.75
226,227,7.9,76.98,50.75,12.28,17.36,22.7,10.42,62.45,77.18,87.6,1.46,1019.36,14.67,5.49
227,228,7.68,79.05,51.94,13.04,18.0,23.64,10.6,60.21,77.91,90.37,1.96,1018.12,14.97,6.51
228,229,9.14,80.74,52.09,12.96,18.46,24.24,11.28,59.57,75.59,86.19,1.64,1018.42,13.02,6.29
229,230,8.05,75.82,51.13,12.48,17.52,22.42,9.94,64.24,78.89,89.43,4.22,1017.72,13.38,6.07
230,231,7.89,78.71,50.54,12.33,17.96,23.01,10.67,61.37,76.65,86.53,4.46,1017.34,16.46,6.17
231,232,8.15,73.6,49.51,11.97,16.32,19.9,7.94,65.25,78.05,87.1,4.06,1020.08,15.28,7.1
232,233,8.05,78.14,47.58,10.93,15.62,20.22,9.28,62.25,75.43,85.85,2.72,1021.71,17.25,6.07
233,234,8.57,78.43,46.89,10.6,16.35,21.7,11.1,60.95,76.87,88.14,3.08,1020.0,15.52,6.24
234,235,8.1,82.12,48.41,11.57,16.97,22.68,11.11,56.95,74.29,86.38,4.09,1018.95,17.35,6.78
235,236,7.95,78.9,50.83,11.87,17.55,23.48,11.6,59.1,75.22,85.7,5.6,1018.28,12.75,6.37
236,237,8.14,79.78,51.64,12.38,17.89,23.35,10.98,61.29,76.14,87.67,10.16,1018.15,15.24,7.06
237,238,8.19,77.17,50.72,12.1,17.23,21.22,9.12,62.0,75.17,85.95,5.02,1018.25,18.3,6.77
238,239,7.57,79.59,48.57,11.45,17.16,22.26,10.81,57.57,74.32,86.57,3.65,1018.76,16.92,6.76
239,240,8.95,80.82,49.79,11.99,17.49,23.37,11.38,58.33,75.03,87.24,4.13,1019.07,17.35,6.16
240,241,8.75,80.55,51.04,12.6,18.36,23.77,11.16,59.45,74.68,85.8,2.84,1019.0,16.18,6.32
241,242,7.71,77.18,50.35,12.56,17.89,22.6,10.04,63.14,77.33,88.43,3.81,1018.6,16.48,7.63
242,243,8.2,78.04,51.85,13.07,18.28,23.12,10.06,61.2,74.65,85.65,8.5,1018.47,17.48,6.81
243,244,7.52,76.1,50.93,12.48,17.45,21.49,9.0,64.86,76.14,85.57,2.8,1018.72,16.92,6.38
244,245,7.16,74.82,51.58,13.01,17.56,21.85,8.84,65.68,78.84,88.11,7.75,1017.81,13.35,7.15
245,246,7.95,77.16,51.99,13.34,18.14,22.52,9.18,63.74,76.32,86.16,4.09,1017.41,17.32,7.91
246,247,7.84,77.83,49.86,12.48,17.44,22.02,9.54,61.05,75.86,87.26,2.93,1019.1,16.14,8.79
247,248,7.84,78.07,49.81,12.22,17.32,22.54,10.33,60.68,74.89,85.26,3.84,1020.39,14.91,6.85
248,249,7.68,77.51,51.43,12.45,17.38,22.72,10.27,62.58,78.32,88.32,2.63,1019.88,14.0,5.86
249,250,7.25,78.95,52.6,13.35,18.31,23.26,9.91,61.25,76.97,87.65,9.59,1017.44,16.53,7.36
250,251,7.4,82.97,53.49,13.96,19.13,24.06,10.1,62.65,75.75,85.3,4.5,1016.1,16.4,8.27
251,252,8.63,84.25,54.7,14.33,20.16,25.37,11.05,59.37,76.0,88.37,2.69,1016.02,16.88,7.27
252,253,7.75,83.31,53.91,13.9,19.32,24.96,11.06,62.3,76.07,86.35,1.34,1017.23,16.35,6.65
253,254,7.25,76.42,53.67,14.06,18.59,22.4,8.35,67.4,79.13,88.45,14.08,1018.05,18.37,8.25
254,255,6.9,75.82,52.7,13.62,18.16,22.2,8.59,70.6,79.62,86.5,9.97,1017.75,17.7,7.81
255,256,7.45,77.66,53.68,13.98,18.6,22.9,8.92,64.5,78.02,86.8,5.28,1017.72,16.87,7.4
256,257,8.3,76.56,54.83,14.59,18.62,22.77,8.18,64.95,78.07,88.75,4.06,1016.5,18.53,8.89
257,258,7.25,76.34,52.46,13.5,18.3,22.48,8.98,62.95,75.75,86.75,7.28,1017.48,17.53,8.1
258,259,7.6,74.72,51.78,13.18,18.02,22.02,8.83,64.1,76.3,86.0,7.37,1018.64,15.98,7.8
259,260,7.4,71.39,52.41,13.68,17.66,21.12,7.44,69.7,80.25,88.6,7.86,1018.87,16.05,9.17
260,261,7.4,75.54,52.56,13.56,18.09,22.74,9.18,65.65,79.18,88.8,6.14,1017.43,16.13,7.81
261,262,7.8,76.21,54.92,14.46,19.16,23.54,9.08,65.05,79.02,89.35,9.59,1015.32,17.15,7.4
262,263,6.9,77.35,54.85,14.48,19.1,22.89,8.41,64.5,78.5,88.15,7.68,1014.89,16.48,7.55
263,264,7.7,74.61,53.28,13.74,18.02,21.98,8.24,65.95,78.03,87.55,5.68,1016.75,17.02,7.34
264,265,7.35,77.88,52.46,13.24,18.69,23.6,10.35,59.35,75.88,87.25,5.56,1016.48,15.85,6.44
265,266,7.2,73.09,52.23,13.48,18.33,22.06,8.58,67.2,78.02,87.45,8.59,1016.61,16.4,7.91
266,267,8.11,72.78,51.22,13.05,17.66,21.38,8.34,62.21,76.11,86.26,8.1,1018.89,17.79,8.73
267,268,7.25,78.16,50.15,12.42,18.58,23.68,11.26,55.8,71.6,83.25,0.46,1019.67,16.77,7.75
268,269,8.55,80.55,52.01,13.38,19.1,24.28,10.9,57.75,72.38,83.3,1.48,1018.84,16.0,8.16
269,270,7.5,78.19,54.82,14.46,19.28,23.9,9.43,63.0,74.9,84.45,3.67,1018.24,14.6,7.65
270,271,6.84,75.81,55.29,14.83,19.33,23.38,8.55,62.16,75.42,86.26,1.36,1018.76,13.65,9.17
271,272,7.65,81.05,54.57,14.49,19.88,24.78,10.3,57.95,73.22,84.75,1.12,1017.4,17.02,8.32
272,273,7.53,76.7,54.53,14.46,19.36,23.33,8.87,61.21,73.39,82.95,3.38,1016.78,16.53,8.09
273,274,6.25,81.31,55.93,14.98,20.21,24.96,9.98,60.35,74.63,85.9,6.48,1015.18,15.35,7.53
274,275,8.71,80.06,56.69,15.48,20.29,24.88,9.4,60.38,74.02,85.81,3.47,1015.39,16.65,8.73
275,276,7.1,78.55,54.89,14.57,19.75,24.08,9.52,62.4,75.82,86.65,3.94,1015.94,18.42,8.11
276,277,7.23,77.46,54.71,14.43,19.38,23.94,9.51,64.32,75.61,84.91,6.11,1016.74,17.42,7.43
277,278,7.77,77.93,55.37,14.71,19.78,24.05,9.33,63.5,75.53,85.41,6.12,1016.0,16.52,7.47
278,279,6.77,77.14,55.93,14.91,19.88,23.9,8.99,64.41,76.89,86.5,5.89,1016.34,14.06,7.07
279,280,6.67,78.4,55.44,14.97,19.91,23.74,8.77,62.29,75.41,86.57,2.85,1016.75,14.65,9.05
280,281,7.52,79.76,56.26,15.19,20.28,24.59,9.4,64.19,75.05,84.24,11.2,1016.61,15.33,7.82
281,282,6.77,82.56,57.95,15.9,20.8,25.58,9.69,60.91,74.15,85.09,2.67,1016.41,15.36,7.77
282,283,6.18,81.24,56.83,15.41,20.82,24.98,9.57,61.32,72.94,82.32,1.63,1016.34,15.2,7.83
283,284,7.32,79.23,56.14,15.15,20.44,24.75,9.61,63.36,74.89,83.82,6.8,1016.22,15.62,8.14
284,285,6.67,81.21,57.78,15.75,20.61,25.13,9.38,63.33,77.6,88.05,6.1,1015.51,16.98,7.73
285,286,6.73,83.36,58.71,16.21,21.75,26.24,10.03,60.41,73.98,84.23,4.23,1014.6,17.91,8.09
286,287,7.64,81.46,59.17,16.43,21.35,25.5,9.07,63.95,75.26,85.18,5.15,1014.89,17.91,7.76
287,288,7.09,79.03,57.58,15.86,20.76,24.75,8.89,65.23,76.29,86.18,5.98,1016.29,14.76,8.96
288,289,6.67,79.05,58.34,16.0,21.03,24.85,8.86,66.0,76.14,85.52,4.85,1016.37,14.33,7.55
289,290,6.86,79.6,59.27,16.46,20.89,24.9,8.44,64.09,75.95,86.55,5.72,1015.79,15.17,7.93
290,291,5.9,80.58,57.94,15.99,21.36,25.41,9.43,60.52,71.75,82.05,7.21,1015.52,15.3,8.45
291,292,6.95,80.47,58.28,15.93,21.11,25.3,9.36,61.59,74.26,85.14,4.88,1015.56,15.71,7.35
292,293,7.45,84.52,57.03,15.68,21.63,26.47,10.79,55.55,70.26,83.45,2.03,1014.87,15.79,9.32
293,294,6.48,81.87,56.85,15.39,21.49,26.0,10.61,58.86,71.25,82.1,3.1,1014.1,16.36,7.77
294,295,6.41,83.35,57.06,15.53,21.21,26.04,10.5,54.68,70.12,83.45,5.32,1015.52,17.14,8.19
295,296,6.95,81.98,56.58,15.3,21.37,26.04,10.74,56.95,69.71,81.5,3.06,1015.95,16.33,8.02
296,297,7.18,81.47,58.89,16.18,21.5,25.83,9.65,59.32,72.52,83.68,4.72,1015.26,15.68,7.34
297,298,6.82,85.07,59.62,16.7,22.04,26.81,10.11,58.45,72.55,83.09,5.65,1014.55,16.64,8.49
298,299,6.73,86.68,60.42,16.96,22.57,27.17,10.2,60.0,72.62,84.32,5.16,1012.91,16.51,8.14
299,300,6.76,85.19,60.64,17.09,22.38,26.88,9.8,57.57,73.4,84.71,6.16,1012.26,18.22,8.59
300,301,6.5,85.78,58.66,16.28,22.44,26.7,10.42,54.73,68.23,79.09,3.35,1013.01,18.98,8.16
301,302,6.95,87.45,58.94,16.26,22.39,27.22,10.96,59.86,70.6,79.52,2.02,1013.34,16.05,7.92
302,303,6.5,87.02,61.94,17.5,22.82,27.2,9.7,61.41,73.2,83.64,2.76,1012.9,15.97,7.43
303,304,6.23,84.91,59.75,16.74,22.35,26.45,9.71,58.09,71.29,84.91,6.45,1014.08,17.24,8.67
304,305,6.52,81.89,57.48,15.82,21.37,25.6,9.78,60.0,71.06,81.67,6.22,1016.27,16.84,9.27
305,306,6.95,84.29,57.16,15.71,21.72,26.14,10.43,56.64,69.09,80.68,1.12,1016.4,13.64,8.97
306,307,6.82,84.01,58.68,16.21,22.13,26.4,10.19,56.95,71.41,83.95,2.77,1013.86,16.74,8.41
307,308,6.48,82.58,58.5,16.24,21.7,25.71,9.47,58.57,71.33,82.43,5.12,1014.02,19.1,8.57
308,309,6.09,83.72,57.87,15.99,21.79,26.11,10.12,56.86,69.85,81.14,5.28,1015.69,15.77,9.04
309,310,6.77,85.33,58.24,16.09,22.21,26.82,10.74,60.73,71.82,81.64,4.11,1015.7,15.76,8.55
310,311,5.82,83.84,58.18,16.12,22.06,26.59,10.46,57.68,70.89,83.32,4.7,1015.86,15.6,8.87
311,312,7.43,88.34,59.19,16.43,22.89,27.85,11.41,54.29,68.32,80.19,2.16,1015.3,14.87,7.89
312,313,6.86,91.9,60.8,17.09,23.69,28.84,11.75,54.86,68.03,81.38,1.22,1013.68,16.94,7.69
313,314,6.43,82.43,63.01,17.98,22.65,25.96,7.98,63.33,75.14,85.1,4.0,1012.48,15.24,7.52
314,315,5.95,87.06,62.76,18.02,23.03,27.25,9.23,58.57,72.25,85.0,9.96,1013.31,17.03,8.51
315,316,7.32,85.68,61.21,17.29,22.82,26.98,9.69,56.86,69.05,80.09,3.91,1013.62,16.41,8.26
316,317,6.05,86.14,59.48,16.7,22.78,27.42,10.73,57.27,69.64,80.09,4.59,1013.5,17.42,9.0
317,318,6.82,87.36,61.31,17.33,23.14,27.8,10.47,57.77,69.06,79.91,4.72,1012.67,17.42,8.27
318,319,5.64,90.61,61.17,17.37,23.83,28.79,11.42,51.27,64.97,77.27,0.4,1012.65,18.24,8.65
319,320,6.18,89.81,61.41,17.39,24.19,28.88,11.49,54.82,66.58,77.59,1.75,1012.83,15.89,7.83
320,321,7.05,85.56,61.25,17.33,23.11,27.31,9.98,59.73,71.03,82.0,3.25,1012.95,14.04,8.17
321,322,6.18,84.57,61.75,17.45,22.88,27.08,9.63,59.05,72.77,84.23,8.09,1011.91,16.56,7.53
322,323,5.81,89.89,59.81,16.64,23.14,28.13,11.49,54.71,68.3,80.0,2.08,1012.96,16.59,7.52
323,324,6.95,88.67,60.25,16.94,23.07,28.05,11.11,53.57,68.02,80.86,3.71,1013.62,17.17,8.39
324,325,7.0,90.04,60.74,17.11,23.73,28.55,11.44,56.45,68.15,79.23,0.8,1014.24,16.44,8.09
325,326,5.62,89.2,62.15,17.76,23.85,28.49,10.73,54.0,68.46,80.57,4.95,1012.89,17.79,8.91
326,327,6.23,91.21,61.97,17.6,24.21,29.23,11.63,53.18,65.01,76.86,0.58,1013.31,15.7,8.02
327,328,6.45,91.76,62.49,17.85,23.91,28.81,10.95,57.5,69.88,81.36,5.37,1012.13,15.17,7.9
328,329,6.14,90.61,62.67,17.91,23.79,28.31,10.4,60.09,71.76,82.32,4.15,1012.72,15.8,7.65
329,330,5.95,91.79,64.19,18.54,24.59,29.18,10.63,57.19,69.79,81.29,4.97,1011.88,15.7,8.49
330,331,6.59,92.4,65.71,19.16,24.74,28.98,9.82,60.27,72.35,82.82,5.43,1012.15,15.86,7.71
331,332,6.95,88.78,64.26,18.65,24.36,28.16,9.51,60.09,71.24,80.95,0.76,1012.34,14.92,8.44
332,333,6.68,91.64,64.34,18.56,24.39,29.2,10.64,56.45,68.65,79.73,1.57,1011.87,15.56,7.34
333,334,6.18,92.17,65.23,19.05,24.84,29.03,9.98,56.55,67.88,78.27,1.94,1011.27,15.58,8.29
334,335,6.32,88.72,64.67,18.79,24.06,28.23,9.44,58.86,69.94,80.05,3.57,1012.31,15.42,7.89
335,336,5.14,90.94,63.49,18.35,24.0,28.5,10.16,57.86,69.32,81.23,3.97,1013.07,16.61,8.31
336,337,6.14,91.97,63.43,18.35,24.44,29.18,10.84,55.77,68.53,80.32,2.14,1012.7,15.76,8.64
337,338,7.09,91.39,64.83,18.88,24.35,28.82,9.94,59.64,69.77,79.27,5.1,1011.27,17.36,7.98
338,339,6.71,89.78,65.7,19.23,24.1,28.17,8.94,61.0,73.37,83.86,5.07,1011.5,15.24,7.81
339,340,6.64,87.79,63.34,18.29,23.57,27.59,9.3,57.5,70.27,81.32,5.7,1013.07,17.15,8.43
340,341,5.41,91.46,62.7,17.82,24.09,28.76,10.94,54.32,67.08,78.45,4.3,1012.86,16.48,6.93
341,342,6.23,95.65,64.0,18.54,24.98,30.15,11.62,52.73,65.65,77.73,1.78,1011.96,16.06,8.59
342,343,6.45,94.41,64.59,18.75,24.77,29.65,10.9,54.18,66.79,77.36,1.98,1011.88,17.79,8.03
343,344,6.18,95.47,64.09,18.45,25.25,30.19,11.74,53.59,66.26,77.0,1.65,1012.14,16.03,7.01
344,345,6.18,92.75,65.44,19.14,25.06,29.37,10.23,56.41,68.48,80.14,5.93,1011.76,15.42,8.01
345,346,5.77,96.75,65.32,19.11,25.46,30.15,11.03,53.5,67.39,80.5,3.46,1010.46,17.41,8.14
346,347,7.32,91.33,64.51,18.76,24.28,28.9,10.14,56.23,68.58,78.95,2.4,1011.57,16.45,8.13
347,348,5.68,97.42,64.95,18.8,25.39,30.58,11.78,54.91,67.71,78.41,0.69,1011.43,16.21,7.23
348,349,6.45,93.35,65.0,19.04,25.11,29.45,10.41,57.45,69.27,78.95,6.92,1011.94,17.08,8.56
349,350,5.73,95.93,66.53,19.63,25.15,29.72,10.1,56.55,70.18,80.95,2.36,1011.86,16.58,8.21
350,351,6.23,99.05,66.56,19.66,25.69,30.43,10.77,55.55,68.08,79.64,1.49,1011.69,17.47,8.93
351,352,6.18,93.94,65.62,19.26,24.97,29.48,10.21,57.18,68.79,80.09,4.23,1012.76,15.06,8.51
352,353,6.5,99.18,66.07,19.34,25.96,31.13,11.8,54.15,67.17,79.55,0.8,1012.36,13.22,7.54
353,354,6.0,101.9,69.03,20.66,26.3,31.44,10.78,57.43,69.4,80.1,1.64,1010.8,19.24,7.88
354,355,6.81,99.2,69.18,20.7,25.55,30.33,9.64,60.14,73.67,84.48,5.86,1010.24,17.38,7.91
355,356,5.48,97.89,67.45,19.97,25.8,30.36,10.39,55.14,68.97,81.29,3.23,1011.67,15.3,7.86
356,357,7.14,97.54,66.84,19.73,25.86,30.32,10.59,54.67,67.54,79.43,2.23,1012.72,16.48,8.25
357,358,6.52,95.27,65.63,19.24,25.24,29.75,10.51,59.52,70.62,80.86,8.75,1012.87,15.4,8.27
358,359,5.86,96.24,66.64,19.6,25.34,29.92,10.33,58.05,69.89,80.55,5.03,1013.35,15.97,7.44
359,360,7.59,102.35,67.35,19.91,26.62,31.65,11.75,53.27,67.35,79.45,0.41,1012.41,15.7,7.59
360,361,6.77,104.16,67.75,20.0,26.99,32.13,12.13,52.09,65.42,76.45,1.41,1011.36,16.85,7.18
361,362,5.76,102.46,68.94,20.64,26.65,31.47,10.83,56.05,69.67,81.52,2.95,1011.47,18.14,8.15
362,363,6.19,102.04,68.75,20.48,26.52,31.3,10.82,57.1,70.24,80.19,4.04,1011.61,15.56,7.22
363,364,6.59,105.96,70.48,21.19,27.06,32.25,11.06,57.77,69.94,81.55,2.22,1010.22,16.0,6.95
364,365,6.33,105.77,71.21,21.64,27.24,31.84,10.2,58.1,70.17,81.67,1.82,1010.02,15.52,8.52
365,366,7.6,102.63,70.63,21.08,27.31,31.56,10.48,55.6,69.4,80.6,9.2,1010.79,17.13,4.97
