,dia,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
51,52,6.14,102.12,70.69,21.34,26.39,31.0,9.67,57.76,72.21,83.43,4.62,1012.62,19.02,7.9
52,53,6.1,99.7,69.97,20.87,25.86,30.26,9.39,59.81,73.14,82.95,5.71,1012.78,15.87,6.26
53,54,5.43,99.95,70.26,21.02,26.13,30.47,9.45,60.9,74.3,83.05,4.84,1012.88,17.11,6.16
54,55,6.71,101.42,69.3,20.66,26.01,30.67,10.01,59.48,73.92,85.1,5.7,1012.35,15.78,7.06
55,56,5.81,98.82,69.41,20.79,25.71,29.97,9.18,62.9,74.87,83.19,2.42,1012.4,16.73,7.75
56,57,6.1,98.1,69.57,20.6,25.73,29.91,9.31,60.67,74.89,86.1,7.57,1012.35,16.4,6.9
57,58,6.9,99.55,67.66,19.97,25.64,30.52,10.55,58.0,71.68,82.14,1.75,1012.71,16.38,7.27
58,59,5.52,98.3,67.48,19.96,25.79,30.64,10.68,55.71,69.94,80.57,1.78,1013.07,16.89,7.97
59,60,6.67,99.15,68.2,20.2,25.75,30.5,10.3,54.9,71.38,81.86,3.6,1013.28,17.7,7.08
60,61,5.9,96.37,68.14,20.28,25.49,30.02,9.74,57.8,71.4,82.8,6.2,1013.47,18.03,7.93
61,62,6.75,98.27,69.57,20.77,26.06,30.32,9.54,59.5,71.95,81.35,0.78,1013.78,14.98,7.41
62,63,6.67,101.54,69.42,20.79,26.03,30.85,10.06,59.48,73.14,83.14,5.58,1013.15,15.91,7.57
63,64,5.52,97.43,68.58,20.44,25.62,29.89,9.45,62.29,74.22,84.29,5.49,1012.59,18.57,7.73
64,65,6.1,99.85,68.86,20.37,25.6,30.48,10.11,56.57,72.95,84.24,1.66,1013.37,17.29,5.96
65,66,5.24,102.29,68.43,20.02,26.2,31.23,11.21,54.57,71.03,83.71,2.76,1013.31,14.49,5.82
66,67,5.67,103.6,69.39,20.64,26.47,31.52,10.88,55.71,71.16,82.95,1.78,1012.94,18.22,6.4
67,68,6.33,100.14,70.68,21.23,26.14,30.54,9.3,61.67,74.46,85.24,3.35,1012.62,14.62,6.79
68,69,6.25,98.51,71.3,21.54,26.11,30.12,8.57,61.15,74.52,84.15,6.47,1012.53,17.85,7.0
69,70,6.71,95.62,69.22,20.62,25.55,29.66,9.04,60.76,74.41,84.19,4.22,1012.57,16.32,6.77
70,71,6.86,90.77,67.95,20.07,24.79,28.31,8.24,62.33,74.44,83.43,5.63,1012.52,17.84,6.82
71,72,6.55,93.97,67.54,19.85,24.5,28.94,9.09,59.0,73.88,85.75,4.46,1012.41,18.37,6.46
72,73,6.3,95.76,67.12,19.66,25.06,29.74,10.07,56.4,71.8,82.15,0.63,1012.59,15.68,6.53
73,74,7.37,96.5,68.19,20.14,24.9,29.38,9.24,62.63,76.3,87.79,6.66,1013.13,17.12,6.43
74,75,6.68,93.94,67.52,19.8,24.99,29.11,9.31,59.58,73.91,83.58,1.37,1014.63,13.83,6.29
75,76,6.35,94.66,64.98,18.82,24.32,29.22,10.4,59.9,74.28,85.45,3.57,1014.62,16.3,7.01
76,77,5.5,94.66,65.95,19.27,24.7,29.11,9.83,59.85,74.2,84.55,2.34,1014.68,16.52,7.39
77,78,6.58,90.72,65.97,19.21,24.23,28.43,9.22,63.16,75.02,85.21,2.78,1014.86,13.58,6.74
78,79,5.25,91.15,66.13,19.4,23.83,28.08,8.68,62.75,76.57,86.7,9.95,1014.01,14.63,7.71
79,80,7.1,90.61,65.63,19.09,23.9,28.16,9.07,61.75,75.22,85.4,1.68,1014.38,18.28,6.72
80,81,5.65,89.76,63.31,17.9,23.61,27.96,10.06,59.95,73.68,83.65,2.7,1015.01,14.63,6.21
81,82,6.76,90.62,65.42,18.85,23.63,28.23,9.38,61.29,74.64,85.1,3.5,1015.15,16.78,5.89
82,83,6.52,89.11,65.22,19.0,23.88,27.95,8.95,63.19,76.06,84.9,2.24,1015.35,17.21,7.79
83,84,6.2,86.8,64.79,18.74,23.58,27.49,8.76,61.45,74.42,84.5,2.53,1016.05,13.58,6.95
84,85,5.84,88.67,64.67,18.77,23.3,27.66,8.88,63.84,75.81,85.16,3.47,1015.9,16.96,7.96
85,86,6.75,91.19,64.89,18.71,23.44,28.36,9.65,63.4,76.72,84.85,3.3,1015.99,16.55,6.86
86,87,6.19,91.69,66.29,19.35,24.14,28.41,9.06,62.57,75.98,85.62,2.6,1015.78,16.05,6.94
87,88,6.25,93.35,65.78,19.28,24.12,28.62,9.34,58.0,73.62,84.75,2.25,1015.2,16.92,8.03
88,89,6.95,95.01,66.16,18.96,24.32,29.32,10.36,57.55,72.9,84.35,3.76,1014.59,15.28,4.94
89,90,5.76,88.97,65.15,18.63,23.65,27.83,9.2,62.24,75.14,85.62,2.9,1015.95,15.38,6.26
90,91,5.2,88.89,64.12,18.39,23.16,27.76,9.38,63.0,76.87,87.05,6.88,1016.81,15.1,6.57
91,92,6.7,92.53,65.02,18.8,23.89,28.56,9.76,61.2,75.58,85.2,1.4,1015.88,15.43,7.07
92,93,6.43,93.25,65.53,18.86,23.94,28.75,9.89,60.43,76.33,86.76,1.3,1014.86,17.49,6.13
93,94,6.57,91.63,64.86,18.62,23.79,28.41,9.79,61.05,75.02,85.86,7.14,1013.93,16.87,5.98
94,95,6.5,87.4,64.35,18.48,23.21,27.54,9.07,59.5,75.48,87.25,5.54,1014.54,18.22,6.82
95,96,6.38,89.84,64.09,18.26,23.46,28.14,9.88,58.38,73.71,85.33,1.19,1015.5,18.32,6.06
96,97,7.0,92.29,64.52,18.37,23.46,28.43,10.07,59.33,75.22,86.86,0.76,1015.14,16.57,5.83
97,98,6.62,89.84,63.52,18.09,23.34,28.1,10.01,55.57,73.03,85.52,1.88,1015.11,16.27,6.41
98,99,5.76,87.74,63.6,18.08,23.07,27.56,9.48,58.86,74.59,85.67,1.61,1016.02,17.29,6.04
99,100,6.62,90.39,64.35,18.09,23.45,28.27,10.18,60.1,73.9,84.05,0.57,1015.78,14.63,5.68
100,101,6.57,90.18,64.17,18.41,23.22,28.0,9.58,58.1,73.7,85.1,3.13,1014.08,19.27,6.97
101,102,7.1,83.57,64.13,18.29,22.67,26.3,8.01,62.29,76.29,86.43,6.3,1014.42,18.67,6.43
102,103,6.86,84.19,62.39,17.46,21.99,26.31,8.85,61.14,75.29,85.67,1.0,1016.81,15.32,5.92
103,104,6.1,85.99,61.73,17.21,22.19,26.71,9.5,61.76,75.03,83.81,5.71,1016.85,14.37,6.08
104,105,6.81,82.25,61.85,17.33,21.71,25.5,8.17,64.57,76.63,86.38,3.18,1016.55,18.35,6.28
105,106,7.19,84.42,60.08,16.69,21.58,25.97,9.28,59.29,74.05,85.19,4.14,1017.28,17.78,7.23
106,107,6.62,89.18,59.74,16.37,22.13,27.41,11.04,56.38,73.76,86.67,1.03,1017.53,18.05,6.63
107,108,6.14,88.36,62.72,17.4,22.52,27.41,10.01,60.0,76.43,88.0,1.61,1017.29,16.56,5.11
108,109,7.14,86.07,61.75,17.09,22.43,27.04,9.95,60.67,75.51,86.05,1.35,1016.93,14.87,5.42
109,110,6.38,86.5,62.53,17.21,22.39,27.1,9.88,59.67,75.83,87.81,3.6,1015.98,16.86,5.61
