obito,tmin_3h,tmin,temp,tmax_3h,tmax,amplitude_t_3h,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
8,9.2,7.6,13.9,20.2,20.9,11.0,13.299999999999999,55.0,81.0,97.0,0.0,1021.73,16.67,0.83
13,10.4,8.8,14.73,20.2,20.9,9.799999999999999,12.099999999999998,61.0,78.0,95.0,0.0,1020.2,22.67,1.17
8,11.5,11.1,14.13,16.3,17.6,4.800000000000001,6.500000000000002,73.0,81.33,88.0,0.0,1026.47,20.0,1.33
14,11.9,11.0,15.03,20.0,20.4,8.1,9.399999999999999,58.0,79.0,94.0,0.0,1027.37,7.67,2.3
10,11.8,10.8,16.0,21.0,21.4,9.2,10.599999999999998,59.0,73.67,88.0,0.0,1021.17,12.33,1.1
4,11.6,10.2,16.57,22.2,23.0,10.6,12.8,56.0,75.0,89.0,0.0,1018.43,6.0,1.13
11,16.3,16.0,17.27,19.1,20.0,2.8000000000000007,4.0,85.0,89.67,95.0,8.8,1015.43,9.0,0.9
9,18.2,17.0,20.23,22.7,24.9,4.5,7.899999999999999,65.0,78.33,92.0,3.0,1006.13,18.0,2.2
12,12.3,10.8,17.03,22.2,22.2,9.899999999999999,11.399999999999999,51.0,72.67,91.0,0.0,1014.9,21.33,3.0
6,15.3,15.0,20.03,28.6,29.1,13.3,14.100000000000001,52.0,69.67,80.0,0.0,1015.6,12.33,2.17
8,13.3,13.6,16.27,21.6,22.4,8.3,8.799999999999999,77.0,85.67,94.0,26.1,1019.3,16.67,2.3
7,12.0,11.3,12.13,12.2,13.5,0.1999999999999993,2.1999999999999993,82.0,89.33,98.0,8.4,1024.3,12.33,1.93
9,13.5,13.2,14.4,16.1,17.6,2.6000000000000014,4.400000000000002,78.0,90.33,97.0,73.7,1018.03,24.33,4.6
11,8.7,7.6,12.73,15.4,16.4,6.700000000000001,8.799999999999999,55.0,71.67,83.0,0.0,1024.77,34.67,2.2
14,6.7,4.3,11.73,18.9,19.2,12.2,14.899999999999999,45.0,73.33,92.0,0.0,1025.53,4.67,1.67
12,10.6,10.6,13.27,16.8,17.4,6.200000000000001,6.799999999999999,77.0,89.67,97.0,32.4,1020.33,17.0,1.17
10,13.3,12.6,14.17,15.4,15.8,2.0999999999999996,3.200000000000001,83.0,90.67,96.0,0.0,1020.43,19.67,0.67
8,10.6,10.3,13.47,16.4,17.6,5.799999999999999,7.300000000000001,81.0,90.33,98.0,0.0,1017.3,10.67,0.67
11,12.2,11.0,13.6,16.0,16.8,3.8000000000000007,5.800000000000001,77.0,88.67,97.0,0.0,1018.3,16.67,1.03
11,13.6,12.2,16.33,21.0,21.4,7.4,9.2,78.0,84.0,90.0,0.0,1020.33,16.67,1.37
11,17.3,17.0,17.53,18.0,19.4,0.6999999999999993,2.3999999999999986,64.0,84.33,98.0,42.0,1015.53,22.67,5.3
7,12.0,9.0,15.23,19.3,20.0,7.300000000000001,11.0,50.0,70.0,83.0,0.0,1021.4,32.0,2.07
14,11.2,7.8,15.33,22.2,22.6,11.0,14.8,53.0,75.33,90.0,0.0,1019.77,10.67,0.7
12,14.8,12.0,17.4,22.0,22.6,7.199999999999999,10.600000000000001,64.0,80.67,90.0,0.0,1018.1,16.67,1.0
8,14.6,14.2,14.87,15.2,15.6,0.5999999999999996,1.4000000000000004,92.0,95.33,97.0,7.3,1016.43,15.33,1.53
11,12.2,11.3,14.43,16.4,16.7,4.199999999999999,5.399999999999999,62.0,82.33,95.0,11.2,1022.3,14.0,1.0
7,15.4,15.0,19.53,25.6,26.2,10.200000000000001,11.2,70.0,87.33,98.0,0.0,1020.57,19.67,1.53
6,17.0,14.0,22.6,31.8,32.0,14.8,18.0,43.0,77.33,95.0,0.0,1016.57,7.67,1.2
8,23.4,17.2,26.63,32.7,32.7,9.300000000000004,15.500000000000004,44.0,59.67,69.0,0.0,1013.57,15.0,1.53
6,12.8,12.8,15.07,18.6,14.3,5.800000000000001,1.5,92.0,94.67,97.0,23.099999999999998,1020.33,13.67,1.37
8,13.4,12.8,14.5,16.5,16.8,3.0999999999999996,4.0,95.0,95.0,95.0,5.9,1022.17,15.0,0.5
6,15.9,14.5,16.1,16.4,18.2,0.4999999999999982,3.6999999999999993,97.0,97.33,98.0,8.7,1019.2,6.0,1.03
7,16.7,16.2,20.23,26.4,27.4,9.7,11.2,62.0,83.33,95.0,8.6,1016.3,6.0,0.5
8,21.4,17.7,25.0,31.8,33.4,10.400000000000002,15.7,59.0,74.33,84.0,0.0,1016.1,10.67,0.83
7,22.4,18.1,25.8,31.0,31.4,8.600000000000001,13.299999999999997,53.0,72.0,83.0,0.0,1019.73,7.67,1.2
6,21.4,16.0,24.53,27.8,28.0,6.400000000000002,12.0,55.0,62.0,70.0,0.0,1019.33,12.33,2.23
9,21.5,15.8,24.9,31.2,31.8,9.7,16.0,38.0,64.0,86.0,0.0,1012.43,4.67,1.37
3,19.6,19.3,22.83,24.6,24.6,5.0,5.300000000000001,63.0,74.0,94.0,8.3,1005.33,25.67,2.57
9,13.4,12.2,16.03,17.4,17.6,3.9999999999999982,5.400000000000002,60.0,72.67,84.0,3.7,1014.33,27.33,4.1
3,11.1,9.3,12.93,13.9,14.8,2.8000000000000007,5.5,57.0,61.0,69.0,0.0,1020.63,16.67,2.9
3,15.6,13.5,17.57,19.7,19.9,4.1,6.399999999999999,82.0,88.33,94.0,0.7,1017.93,16.67,1.03
9,12.1,11.0,16.5,22.4,22.6,10.299999999999999,11.600000000000001,65.0,83.67,96.0,0.0,1020.5,10.67,0.87
8,14.6,14.6,16.07,17.4,18.4,2.799999999999999,3.799999999999999,75.0,83.0,88.0,0.0,1022.37,10.67,1.0
6,13.9,13.0,16.93,22.3,23.4,8.4,10.399999999999999,67.0,80.0,91.0,0.0,1020.93,10.67,0.33
6,13.8,13.4,18.73,25.6,26.0,11.8,12.6,51.0,79.67,98.0,0.0,1015.3,16.67,0.67
6,12.8,11.8,14.6,15.6,15.9,2.799999999999999,4.1,76.0,87.0,95.0,16.8,1012.97,7.67,1.2
5,14.0,12.7,15.37,17.9,21.6,3.8999999999999986,8.900000000000002,93.0,95.67,98.0,5.5,1010.97,10.67,0.87
8,12.7,13.3,14.33,17.0,15.0,4.300000000000001,1.6999999999999993,49.0,76.0,96.0,51.3,1017.1,21.0,4.1
8,4.8,3.0,8.6,12.0,12.6,7.2,9.6,43.0,65.33,87.0,0.0,1023.53,21.33,1.57
8,6.0,5.0,8.67,12.2,13.0,6.199999999999999,8.0,52.0,67.0,77.0,0.0,1026.83,19.67,2.57
9,4.2,2.4,8.5,13.3,13.5,9.100000000000001,11.1,53.0,75.0,94.0,0.0,1032.37,7.67,0.33
13,5.6,3.0,9.63,16.6,17.2,11.000000000000002,14.2,60.0,82.33,97.0,0.0,1032.37,4.67,1.03
6,11.4,8.4,14.93,21.6,22.2,10.200000000000001,13.799999999999999,61.0,79.0,88.0,0.0,1026.8,16.67,1.53
15,11.7,11.0,14.43,16.0,19.2,4.300000000000001,8.2,48.0,77.33,98.0,5.7,1025.67,10.67,0.7
10,5.0,3.9,10.17,15.3,16.4,10.3,12.499999999999998,49.0,73.67,98.0,0.0,1028.97,6.0,0.17
10,9.8,8.6,13.8,21.0,24.4,11.2,15.799999999999999,62.0,72.0,87.0,0.0,1023.5,4.67,0.17
5,16.0,14.4,19.93,26.6,27.2,10.600000000000001,12.799999999999999,57.0,79.33,91.0,0.0,1018.6,13.67,0.83
15,18.2,16.5,22.8,30.4,30.7,12.2,14.2,41.0,69.33,87.0,0.0,1013.53,22.67,1.37
9,12.2,12.2,16.67,25.4,25.4,13.2,13.2,54.0,78.67,93.0,1.7,1018.1,12.0,0.33
8,11.0,9.9,11.67,12.6,15.0,1.5999999999999996,5.1,95.0,96.67,98.0,59.8,1022.8,9.33,1.0
5,13.6,12.8,15.53,18.4,19.4,4.799999999999999,6.599999999999998,82.0,92.33,98.0,12.299999999999999,1018.47,10.67,0.17
3,13.6,13.3,14.93,16.2,17.6,2.5999999999999996,4.300000000000001,89.0,92.33,97.0,0.5,1021.23,12.0,0.33
7,14.0,13.8,14.47,14.8,15.6,0.8000000000000007,1.799999999999999,93.0,95.0,97.0,1.7999999999999998,1025.27,12.33,2.03
11,14.5,14.5,15.27,16.1,18.6,1.6000000000000014,4.100000000000001,91.0,94.0,96.0,1.3,1029.77,16.67,2.77
6,16.0,15.9,18.4,22.8,23.5,6.800000000000001,7.6,70.0,83.67,92.0,0.0,1028.03,18.0,2.57
8,15.4,14.8,18.67,24.2,24.5,8.799999999999999,9.7,63.0,84.0,97.0,0.0,1024.83,9.0,1.03
5,16.5,15.0,19.53,25.3,26.2,8.8,11.2,61.0,81.33,92.0,0.0,1021.4,13.67,1.2
9,13.0,11.7,17.53,19.8,21.1,6.800000000000001,9.400000000000002,51.0,73.67,88.0,0.0,1022.53,30.33,2.77
9,10.9,8.6,14.83,20.8,21.1,9.9,12.500000000000002,60.0,76.0,96.0,0.0,1022.23,12.0,0.67
5,11.1,9.0,15.17,21.6,21.8,10.500000000000002,12.8,58.0,74.0,92.0,0.0,1022.0,9.0,0.67
14,12.5,11.0,18.03,26.4,26.8,13.899999999999999,15.8,53.0,79.33,96.0,0.0,1021.77,12.0,0.33
13,16.0,15.5,19.0,21.2,21.8,5.199999999999999,6.300000000000001,77.0,85.33,98.0,0.0,1021.47,15.0,1.2
7,16.1,14.0,19.77,26.1,26.1,10.0,12.100000000000001,57.0,82.0,96.0,0.0,1017.13,6.0,0.17
12,19.1,17.0,20.63,22.0,22.0,2.8999999999999986,5.0,67.0,71.33,78.0,0.7,1009.27,19.67,1.37
14,11.7,10.4,14.3,17.5,17.9,5.800000000000001,7.499999999999998,49.0,61.0,68.0,0.0,1017.5,32.0,5.67
4,10.0,7.0,14.9,21.5,22.6,11.5,15.600000000000001,36.0,60.0,80.0,0.0,1019.33,4.67,0.33
11,8.6,7.2,11.27,13.6,14.4,5.0,7.2,62.0,71.67,77.0,0.0,1023.4,21.33,3.07
5,9.6,7.3,12.13,17.0,18.0,7.4,10.7,61.0,82.33,95.0,0.0,1028.57,3.0,0.33
11,10.0,7.0,15.17,22.5,23.8,12.5,16.8,45.0,73.67,92.0,0.0,1022.77,4.67,0.5
7,13.4,10.9,16.47,20.8,21.4,7.4,10.499999999999998,54.0,73.0,88.0,0.0,1019.6,15.33,1.37
6,13.4,13.0,14.47,16.2,17.0,2.799999999999999,4.0,81.0,85.0,90.0,0.4,1020.67,12.33,1.4
10,8.5,6.7,12.67,16.6,17.4,8.100000000000001,10.7,44.0,63.0,80.0,0.0,1026.13,28.67,2.73
7,10.0,5.2,14.87,23.2,23.9,13.2,18.7,32.0,62.67,80.0,0.0,1025.13,9.0,0.5
8,16.0,11.8,20.97,29.0,29.9,13.0,18.099999999999998,33.0,59.33,74.0,0.0,1020.4,15.0,0.5
7,16.0,12.9,22.53,30.4,32.3,14.399999999999999,19.4,37.0,47.0,54.0,0.0,1016.03,3.0,0.17
5,15.5,15.0,18.97,22.2,22.2,6.699999999999999,7.199999999999999,62.0,74.0,88.0,0.0,1017.87,13.67,2.9
9,15.2,15.2,18.03,22.6,22.9,7.400000000000002,7.699999999999999,72.0,86.0,97.0,0.0,1018.57,14.0,1.87
12,13.0,13.9,15.33,19.0,19.4,6.0,5.499999999999998,88.0,92.67,95.0,38.2,1015.3,19.67,1.03
11,10.6,8.5,12.17,14.5,15.9,3.9000000000000004,7.4,53.0,75.0,95.0,11.2,1025.27,28.67,1.37
10,8.3,4.5,10.87,14.9,15.6,6.6,11.1,50.0,69.0,81.0,0.1,1026.87,24.0,1.73
4,8.2,3.5,10.93,16.0,16.4,7.800000000000001,12.899999999999999,46.0,68.67,83.0,0.0,1027.87,12.0,0.33
13,9.4,6.6,10.73,12.7,14.6,3.299999999999999,8.0,76.0,77.33,79.0,0.0,1030.6,25.67,1.0
16,11.3,10.0,13.5,16.0,16.3,4.699999999999999,6.300000000000001,60.0,78.33,92.0,4.699999999999999,1030.7,18.0,2.9
7,11.3,10.9,12.07,13.2,13.9,1.8999999999999986,3.0,84.0,89.0,97.0,2.4000000000000004,1028.6,10.67,1.2
6,14.6,13.7,16.53,19.8,20.2,5.200000000000001,6.5,73.0,83.67,95.0,0.0,1022.7,9.0,1.53
7,16.4,15.4,17.13,18.4,19.7,2.0,4.299999999999999,84.0,87.0,92.0,0.0,1022.5,12.33,1.33
2,15.4,14.9,16.3,18.0,19.4,2.5999999999999996,4.499999999999998,83.0,91.0,96.0,0.0,1022.7,15.33,1.33
7,12.8,11.8,15.8,19.6,20.1,6.800000000000001,8.3,61.0,84.33,97.0,0.0,1024.5,12.0,0.53
11,9.6,8.6,14.5,20.4,21.2,10.799999999999999,12.6,56.0,78.67,93.0,0.0,1022.67,10.67,0.87
11,9.7,8.5,14.5,19.8,21.0,10.100000000000001,12.5,62.0,82.67,95.0,0.0,1021.33,13.67,0.43
11,14.0,12.9,15.73,18.4,18.7,4.399999999999999,5.799999999999999,71.0,83.33,90.0,0.0,1023.1,6.0,0.17
7,11.8,10.6,13.77,16.6,17.1,4.800000000000001,6.500000000000002,84.0,90.67,98.0,0.0,1019.73,12.0,0.5
5,12.8,11.6,17.2,23.4,24.0,10.599999999999998,12.4,56.0,83.0,97.0,0.4,1015.07,1.67,0.53
9,18.0,17.3,18.2,18.6,20.0,0.6000000000000014,2.6999999999999993,83.0,88.33,98.0,36.2,1009.0,7.67,0.37
11,13.0,11.6,14.67,17.4,17.8,4.399999999999999,6.200000000000001,93.0,95.0,98.0,35.8,1016.13,24.0,1.4
6,9.3,8.0,10.83,11.6,12.2,2.299999999999999,4.199999999999999,58.0,72.67,86.0,0.0,1025.07,26.0,3.93
9,4.6,3.0,8.77,13.7,14.4,9.1,11.4,57.0,74.33,94.0,0.0,1027.77,36.0,1.37
9,3.8,2.8,10.43,19.0,19.6,15.2,16.8,42.0,73.33,95.0,0.0,1025.57,3.0,0.53
7,6.5,5.0,11.9,19.2,20.6,12.7,15.600000000000001,53.0,76.33,95.0,0.0,1022.0,13.67,0.53
15,9.6,7.6,15.6,25.2,26.0,15.6,18.4,51.0,73.67,92.0,0.0,1019.5,0.0,0.0
5,19.0,15.6,22.47,27.6,28.5,8.600000000000001,12.9,55.0,69.0,79.0,0.0,1013.63,18.33,1.5
7,12.5,12.5,15.8,18.4,18.8,5.899999999999999,6.300000000000001,63.0,84.67,96.0,1.4000000000000001,1021.73,13.67,1.57
5,12.2,11.5,17.47,26.0,26.8,13.8,15.3,60.0,81.67,98.0,0.0,1023.57,9.0,1.27
