data,obito,tmin_3h,tmin,temp,tmax_3h,tmax,amplitude_t_3h,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2002-01-13,12,25.0,22.2,26.4,27.4,30.0,2.3999999999999986,7.800000000000001,69.0,76.0,86.0,0.7,1010.9,13.67,1.47
2002-01-14,2,23.8,22.0,25.7,27.6,31.0,3.8000000000000007,9.0,76.0,80.0,85.0,0.0,1010.0,10.67,1.27
2002-01-15,6,22.4,20.7,23.67,26.0,27.2,3.6000000000000014,6.5,47.0,67.33,90.0,2.7,1014.37,16.67,3.43
2002-01-16,8,20.7,16.7,22.8,25.6,26.8,4.900000000000002,10.100000000000001,53.0,61.0,67.0,0.0,1016.43,12.33,2.47
2002-01-17,5,20.8,16.4,23.73,27.2,27.5,6.399999999999999,11.100000000000001,46.0,60.0,70.0,0.0,1017.33,13.67,1.63
2002-01-18,9,20.8,17.0,23.83,27.4,28.0,6.599999999999998,11.0,46.0,59.33,67.0,0.0,1018.63,15.33,1.4
2002-01-19,12,21.2,18.0,25.0,30.0,30.8,8.8,12.8,45.0,58.33,69.0,0.0,1016.83,10.67,1.8
2002-01-20,4,22.4,20.0,27.47,34.3,36.0,11.899999999999999,16.0,36.0,55.33,71.0,0.0,1014.73,24.33,2.07
2002-01-21,3,26.8,22.6,28.3,30.1,32.6,3.3000000000000007,10.0,55.0,60.67,66.0,0.0,1013.67,12.33,2.4
2002-01-22,6,22.4,22.2,24.87,26.8,29.2,4.400000000000002,7.0,71.0,82.33,97.0,20.4,1014.77,10.67,0.53
2002-01-23,4,25.0,21.0,27.6,31.6,32.6,6.600000000000001,11.600000000000001,55.0,72.0,84.0,0.0,1013.9,10.67,0.87
2002-01-24,6,25.8,21.8,27.8,31.4,31.8,5.599999999999998,10.0,58.0,68.33,79.0,0.0,1011.53,12.33,1.8
2002-01-25,10,22.4,20.0,25.27,29.4,30.6,7.0,10.600000000000001,61.0,80.33,91.0,11.5,1007.7,13.67,0.97
2002-01-26,8,22.4,21.0,24.93,28.8,28.8,6.400000000000002,7.800000000000001,72.0,83.33,92.0,0.0,1008.8,9.33,1.27
2002-01-27,5,23.5,23.0,25.37,27.2,27.8,3.6999999999999993,4.800000000000001,71.0,82.0,96.0,5.2,1008.2,25.67,1.87
2002-01-28,2,24.8,22.0,27.3,31.4,32.0,6.599999999999998,10.0,48.0,69.33,83.0,0.0,1007.5,30.33,1.3
2002-01-29,2,26.0,21.0,29.1,34.3,35.0,8.299999999999997,14.0,39.0,57.67,67.0,0.0,1009.67,18.0,0.7
2002-01-30,5,26.8,19.7,29.9,35.2,35.6,8.400000000000002,15.900000000000002,46.0,48.33,51.0,0.0,1010.77,12.33,0.87
2002-02-01,8,23.2,20.4,24.87,28.0,29.1,4.800000000000001,8.700000000000003,83.0,86.33,93.0,0.0,1009.6,29.0,2.57
2002-02-02,7,20.6,18.2,24.13,27.2,27.4,6.599999999999998,9.2,45.0,55.67,68.0,0.0,1014.43,26.0,2.43
2002-02-03,6,21.6,18.1,23.3,25.2,26.4,3.599999999999998,8.299999999999997,55.0,63.0,68.0,0.3,1017.93,17.0,1.37
2002-02-04,6,20.6,16.6,24.4,30.0,30.4,9.399999999999999,13.799999999999997,46.0,59.67,73.0,0.0,1015.83,18.33,1.43
2002-02-05,10,22.4,18.1,26.0,31.2,31.3,8.8,13.2,44.0,62.33,73.0,0.0,1013.77,7.67,0.87
2002-02-06,9,20.8,20.0,22.87,24.0,27.6,3.1999999999999993,7.600000000000001,81.0,86.0,95.0,4.5,1015.6,18.0,0.77
2002-02-07,5,21.0,19.3,23.37,27.7,28.2,6.699999999999999,8.899999999999999,55.0,75.33,86.0,0.0,1013.53,21.33,1.43
2002-02-09,3,20.8,18.9,23.33,28.2,30.5,7.399999999999999,11.600000000000001,54.0,76.33,91.0,1.8,1009.47,18.33,1.77
2002-02-10,6,20.6,18.8,23.73,29.2,29.4,8.599999999999998,10.599999999999998,58.0,79.33,95.0,9.4,1008.97,28.67,1.53
2002-02-11,11,22.4,18.7,25.67,30.6,32.0,8.200000000000003,13.3,52.0,67.67,79.0,3.7,1012.83,33.33,0.93
2002-02-12,11,23.4,21.3,25.67,29.2,30.4,5.800000000000001,9.099999999999998,69.0,78.0,85.0,0.0,1015.57,13.67,2.23
2002-02-13,11,22.6,20.2,25.13,29.8,30.4,7.199999999999999,10.2,61.0,80.0,93.0,11.100000000000001,1014.03,16.67,0.7
2002-02-14,7,22.0,20.3,25.77,31.0,31.6,9.0,11.3,55.0,75.33,94.0,17.8,1012.17,18.33,0.97
2002-02-16,6,23.0,19.9,23.87,24.8,28.2,1.8000000000000007,8.3,76.0,78.67,83.0,0.3,1019.33,13.67,1.83
2002-02-17,4,21.4,19.6,22.87,25.4,26.2,4.0,6.599999999999998,54.0,68.33,77.0,0.0,1021.37,13.67,2.23
2002-02-18,8,21.2,19.7,24.67,28.6,29.6,7.400000000000002,9.900000000000002,53.0,64.33,72.0,0.0,1018.23,16.67,1.8
2002-02-19,7,22.4,20.5,25.47,28.6,29.0,6.200000000000003,8.5,59.0,64.33,69.0,0.0,1016.5,12.33,2.23
2002-02-20,6,23.4,22.0,25.77,29.8,30.4,6.400000000000002,8.399999999999999,56.0,69.67,78.0,0.0,1014.23,14.0,1.23
2002-02-21,5,23.6,21.6,27.33,33.2,33.3,9.600000000000001,11.699999999999996,45.0,67.0,81.0,0.0,1009.17,14.0,1.07
2002-02-22,5,23.6,22.4,26.07,29.6,30.0,6.0,7.600000000000001,51.0,72.0,86.0,0.0,1006.0,19.67,2.37
2002-02-23,4,23.0,19.3,25.07,28.8,30.3,5.800000000000001,11.0,54.0,69.0,80.0,0.9,1008.27,29.0,2.83
2002-02-24,6,20.3,17.1,22.67,26.2,26.6,5.899999999999999,9.5,48.0,65.0,78.0,2.4,1018.0,22.67,2.6
2002-02-25,3,19.6,15.0,23.93,29.4,30.4,9.799999999999997,15.399999999999999,50.0,60.67,67.0,0.0,1017.83,12.33,1.2
2002-02-26,6,22.6,18.8,27.07,33.6,33.8,11.0,14.999999999999996,45.0,61.67,76.0,0.0,1013.43,20.0,1.47
2002-02-27,8,26.0,21.9,29.13,34.4,35.6,8.399999999999999,13.700000000000003,45.0,56.67,69.0,0.0,1012.87,19.67,1.67
2002-02-28,5,28.2,24.2,30.33,34.2,35.0,6.0000000000000036,10.8,45.0,51.33,55.0,0.0,1011.1,25.67,2.77
2002-12-01,6,21.0,20.6,22.07,24.2,24.2,3.1999999999999993,3.599999999999998,87.0,92.67,96.0,43.8,1008.03,16.67,1.73
2002-12-02,2,21.4,19.4,22.1,23.1,24.4,1.7000000000000028,5.0,68.0,81.67,95.0,2.3,1014.77,18.33,2.03
2002-12-03,4,19.0,17.4,23.73,27.8,29.3,8.8,11.900000000000002,66.0,76.33,90.0,0.0,1017.67,13.67,2.57
2002-12-04,9,22.0,20.8,24.17,26.5,27.3,4.5,6.5,77.0,79.33,81.0,0.0,1013.6,14.0,1.73
2002-12-05,10,22.2,22.0,25.93,30.8,31.3,8.600000000000001,9.3,74.0,86.33,96.0,9.4,1009.8,6.0,1.7
