data,tmax_clima,acima,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2002-05-11,23.55,5.25,11,93.79021480796192,65.14508808691446,17.5,23.0,28.8,11.3,62.0,80.67,92.0,0.0,1020.17,4.67,1.1880000000000002
2002-05-12,23.16,6.940000000000001,7,98.98509191179843,62.87487861332533,17.0,24.03,30.1,13.1,56.0,77.33,89.0,0.0,1018.23,4.67,2.4120000000000004
2002-05-13,22.7,9.3,7,109.11745749625432,67.12769852922813,19.0,25.23,32.0,13.0,54.0,76.33,88.0,0.0,1017.97,4.67,2.4120000000000004
2002-05-14,23.24,8.260000000000002,13,100.58886988539824,63.6962129884917,18.0,25.23,31.5,13.5,50.0,67.33,81.0,0.0,1014.33,15.0,4.932
2002-05-15,23.0,6.699999999999999,4,99.78711696647224,70.28726112515633,21.0,22.23,29.7,8.7,75.0,83.33,98.0,14.6,1010.63,4.67,5.508
2004-04-12,26.31,6.890000000000004,8,110.60694465558416,68.74038773757246,19.6,26.57,33.2,13.6,48.0,69.0,87.0,0.0,1010.9,10.67,1.908
2004-04-13,26.71,7.390000000000001,10,108.67122946704362,68.60100722228276,20.3,27.97,34.1,13.8,43.0,60.33,71.0,0.0,1013.67,18.33,5.867999999999999
2004-04-14,25.5,9.5,6,117.33229718012215,71.00627069804858,21.0,27.87,35.0,14.0,44.0,64.67,84.0,0.0,1012.57,16.67,3.24
2004-04-15,25.97,7.130000000000003,7,106.5611530867265,69.79600973498239,20.8,28.07,33.1,12.3,47.0,64.33,79.0,0.0,1011.8,10.67,5.652
2004-04-16,27.41,5.389999999999997,6,116.10284482614992,71.98863688512873,21.7,26.4,32.8,11.099999999999998,53.0,78.67,94.0,0.0,1012.83,10.67,5.04
2005-05-31,19.71,5.09,12,77.5296648286081,63.870939901182,16.7,20.1,24.8,8.100000000000001,76.0,88.0,95.0,0.0,1022.13,3.0,0.972
2005-06-01,19.07,9.73,9,94.67086885388797,61.62380832015127,16.0,21.77,28.8,12.8,58.0,83.0,96.0,0.0,1020.37,16.67,1.548
2005-06-02,19.68,9.420000000000002,11,94.1150668844433,64.46794836965452,17.0,23.23,29.1,12.1,53.0,77.67,94.0,0.0,1017.87,16.67,0.972
2005-06-03,20.43,8.969999999999999,6,94.74147392183583,67.27786610770949,18.9,23.8,29.4,10.5,55.0,75.67,89.0,0.0,1017.1,12.0,1.908
2005-06-04,21.13,8.27,5,93.02142174944278,67.53191847330675,19.5,24.6,29.4,9.9,59.0,71.33,79.0,0.0,1017.9,27.0,3.708
2005-06-05,21.11,7.490000000000002,5,91.0141969804742,65.21750133811707,18.5,23.77,28.6,10.1,59.0,75.33,90.0,0.0,1018.93,22.67,3.96
2005-06-06,20.84,8.16,10,95.46192471244052,76.8833,19.0,23.27,29.0,10.0,64.0,82.33,95.0,0.0,1019.47,0.0,0.0
2005-06-07,20.47,7.330000000000002,11,88.71812577341323,64.94511275989275,17.0,22.67,27.8,10.8,56.0,79.33,97.0,0.0,1016.93,13.67,0.7200000000000001
2005-06-08,19.85,7.75,2,86.32105010066859,59.25275616702341,15.0,21.6,27.6,12.6,56.0,72.33,87.0,0.0,1016.93,28.67,1.8
2005-07-29,19.91,6.690000000000001,9,83.3944137669505,46.84186265563199,10.0,17.73,26.6,16.6,57.0,75.33,95.0,0.0,1019.7,9.33,3.492
2005-07-30,19.94,12.260000000000002,8,104.68308859708851,57.661372160926526,14.9,22.97,32.2,17.300000000000004,44.0,68.33,88.0,0.0,1015.87,16.67,3.3480000000000003
2005-07-31,21.14,10.46,7,95.77173381556644,65.38558568784325,18.5,25.1,31.6,13.1,34.0,57.33,69.0,0.0,1015.07,1.67,3.6
2005-08-01,21.94,8.86,9,93.260934107903,63.08088020655981,17.0,24.5,30.8,13.8,44.0,58.33,73.0,0.0,1016.13,24.0,2.16
2005-08-02,20.58,9.82,8,93.44164081274296,57.879441265143775,15.0,23.5,30.4,15.4,39.0,62.33,81.0,0.0,1016.43,22.67,3.3480000000000003
2005-08-03,20.91,9.190000000000001,4,91.56444460404728,63.26624935242148,16.0,23.47,30.1,14.1,38.0,60.33,74.0,0.0,1017.2,10.67,0.6120000000000001
2005-08-04,21.19,9.61,9,94.54619948269615,63.54285343844806,15.7,23.07,30.8,15.1,39.0,61.33,75.0,0.0,1017.3,12.0,0.36
2005-08-05,21.75,8.850000000000001,12,93.0905004242924,57.90589130789287,15.5,23.5,30.6,15.1,38.0,59.67,72.0,0.0,1017.07,22.67,5.292
2007-09-07,23.26,6.539999999999999,8,97.9036970050575,65.14508808691446,17.5,23.2,29.8,12.3,56.0,78.33,91.0,0.0,1019.53,12.0,1.1880000000000002
2007-09-08,24.06,8.940000000000001,3,113.18263105042298,61.70492762114705,16.3,24.67,33.0,16.7,45.0,73.67,89.0,0.0,1017.47,15.0,2.052
2007-09-09,25.37,8.429999999999996,12,109.1924581650882,61.72166372301725,16.7,25.73,33.8,17.099999999999998,39.0,63.0,85.0,0.0,1016.73,4.67,3.132
2007-09-10,24.96,7.839999999999996,13,102.4286227581194,60.761228490571874,15.9,25.67,32.8,16.9,37.0,60.33,78.0,0.0,1015.13,4.67,2.16
2007-09-11,22.4,9.800000000000004,12,103.17532755731206,60.63695413041373,16.2,24.5,32.2,16.000000000000004,46.0,66.0,81.0,0.0,1015.2,13.67,3.132
2007-09-12,22.2,7.800000000000001,8,95.80575105835877,68.5840573826408,20.1,25.43,30.0,9.9,61.0,71.67,77.0,0.0,1016.0,10.67,4.428
2007-09-13,22.9,6.300000000000001,4,93.54921780371215,62.4535672140371,17.4,22.63,29.2,11.8,49.0,75.0,89.0,0.0,1016.13,13.67,4.680000000000001
2007-09-14,22.77,7.93,9,98.07988037334314,62.14363203545451,16.6,24.57,30.7,14.099999999999998,49.0,69.67,81.0,0.0,1013.37,22.67,2.268
2008-05-19,22.31,8.190000000000001,9,101.31203414728836,63.07346316546401,15.9,22.03,30.5,14.6,56.0,77.67,90.0,0.0,1013.57,10.67,0.6120000000000001
2008-05-20,22.7,8.600000000000001,3,100.95850499502755,65.3910139005043,18.6,25.4,31.3,12.7,57.0,69.67,76.0,0.0,1012.67,16.67,4.068
2008-05-21,22.7,5.600000000000001,5,90.1409809072232,70.62961725789089,20.0,24.67,28.3,8.3,67.0,76.67,83.0,0.0,1010.23,3.0,0.8280000000000001
2008-05-22,21.56,9.64,9,97.60745713609435,67.76485525538945,20.2,26.4,31.2,11.0,53.0,64.33,80.0,0.0,1011.47,28.67,8.532
2008-05-23,21.5,8.5,7,97.6581354799588,67.03036079162254,19.3,24.67,30.0,10.7,57.0,75.67,93.0,0.0,1012.83,15.0,3.852
2008-07-13,20.44,7.559999999999999,9,87.93241345679996,57.08342706430052,14.1,20.03,28.0,13.9,48.0,73.0,91.0,0.0,1019.0,24.33,2.052
2008-07-14,20.21,7.390000000000001,10,87.94189694404858,57.59806705967924,14.4,21.03,27.6,13.2,54.0,79.67,94.0,0.0,1020.63,18.33,2.16
2008-07-15,19.43,9.170000000000002,7,91.89075105539246,57.51860339822095,14.1,21.07,28.6,14.500000000000002,50.0,78.0,98.0,0.0,1022.97,7.67,1.692
2008-07-16,17.41,8.190000000000001,5,80.07303061255777,51.37636650834103,12.2,19.8,25.6,13.400000000000002,44.0,68.33,84.0,0.0,1020.63,21.33,3.852
2008-07-17,18.64,8.36,4,83.89083092366181,47.31296696928598,11.0,18.67,27.0,16.0,42.0,69.67,88.0,0.0,1014.77,16.67,6.012
2009-05-20,22.31,5.59,7,90.33273542410063,53.40547483368231,13.0,18.97,27.9,14.9,60.0,83.67,96.0,0.1,1019.93,6.33,3.492
2009-05-21,22.7,6.300000000000001,12,93.76325060320004,59.77830633449658,16.1,22.23,29.0,12.9,55.0,78.0,90.0,0.1,1017.83,24.33,4.212
2009-05-22,22.7,5.699999999999999,7,89.09649370784683,58.763972721335634,14.9,21.73,28.4,13.499999999999998,51.0,71.67,84.0,0.0,1017.93,10.67,2.052
2009-05-23,21.56,6.84,8,90.98439873011228,55.34498477734198,14.0,20.93,28.4,14.4,54.0,78.0,96.0,0.0,1017.77,13.67,3.852
2009-05-24,21.5,6.199999999999999,4,87.65604713111726,56.391600940000814,14.0,21.1,27.7,13.7,47.0,76.67,98.0,0.0,1016.97,15.33,2.52
2009-08-26,21.22,6.18,6,84.02223308085998,53.06135598018474,14.0,21.47,27.4,13.4,40.0,63.33,85.0,0.0,1021.53,26.0,8.892000000000001
2009-08-27,22.26,6.139999999999997,7,86.89301355869432,53.33683410202838,13.9,22.27,28.4,14.499999999999998,50.0,63.33,73.0,0.0,1019.87,22.67,7.452
2009-08-28,23.37,6.23,7,91.70986872130749,56.57102663984022,14.4,22.6,29.6,15.2,44.0,65.67,79.0,0.0,1020.37,16.67,3.3480000000000003
2009-08-29,23.77,7.830000000000002,10,96.5828902956162,57.35542403592606,15.3,24.13,31.6,16.3,39.0,59.0,74.0,0.0,1017.63,8.0,5.508
2009-08-30,22.6,9.399999999999999,11,97.32101570991034,58.96978678623007,15.5,24.63,32.0,16.5,37.0,57.33,73.0,0.0,1015.83,12.0,3.3480000000000003
