indice_amplitude_up_anomal_r2,-12,-26
indice_amplitude_up_anomal_r3,-26,-50
indice_amplitude_up_anomal_r4,-50,-58
indice_amplitude_up_anomal_r5,-56,40
indice_amplitude_up_anomal_r6,-1,79
indice_amplitude_up_anomal_r7,40,-51
indice_amplitude_down_anomal_r1,0,0
indice_amplitude_down_anomal_r2,0,0
indice_amplitude_down_anomal_r3,0,0
indice_amplitude_down_anomal_r4,0,0
indice_amplitude_down_anomal_r5,0,0
indice_amplitude_down_anomal_r6,0,0
indice_amplitude_down_anomal_r7,0,0
