indice,variavel
190,urmin_anomal_r2
191,urmin_anomal_r3
192,urmin_anomal_r4
193,urmin_anomal_r5
194,urmin_anomal_r6
195,urmin_anomal_r7
196,urmax_anomal_r1
197,urmax_anomal_r2
198,urmax_anomal_r3
199,urmax_anomal_r4
200,urmax_anomal_r5
201,urmax_anomal_r6
202,urmax_anomal_r7
203,amplitude_t_anomal_r1
204,amplitude_t_anomal_r2
205,amplitude_t_anomal_r3
206,amplitude_t_anomal_r4
207,amplitude_t_anomal_r5
208,amplitude_t_anomal_r6
209,amplitude_t_anomal_r7
210,wind_chill_anomal_r1
211,wind_chill_anomal_r2
212,wind_chill_anomal_r3
213,wind_chill_anomal_r4
214,wind_chill_anomal_r5
215,wind_chill_anomal_r6
216,wind_chill_anomal_r7
217,heat_index_anomal_r1
218,heat_index_anomal_r2
219,heat_index_anomal_r3
220,heat_index_anomal_r4
221,heat_index_anomal_r5
222,heat_index_anomal_r6
223,heat_index_anomal_r7
224,indice_amplitude_up_anomal_r1
225,indice_amplitude_up_anomal_r2
226,indice_amplitude_up_anomal_r3
227,indice_amplitude_up_anomal_r4
228,indice_amplitude_up_anomal_r5
229,indice_amplitude_up_anomal_r6
230,indice_amplitude_up_anomal_r7
231,indice_amplitude_down_anomal_r1
232,indice_amplitude_down_anomal_r2
233,indice_amplitude_down_anomal_r3
234,indice_amplitude_down_anomal_r4
235,indice_amplitude_down_anomal_r5
236,indice_amplitude_down_anomal_r6
237,indice_amplitude_down_anomal_r7
